	condition
Tomato_1_UW	tomato_UW
Tomato_2_UW	tomato_UW
Tomato_3_UW	tomato_UW
Banana_1_UW	banana_UW
Banana_2_UW	banana_UW
Banana_3_UW	banana_UW
Control_1_UW	control_UW
Control_2_UW	control_UW
Control_3_UW	control_UW
Minimal_1_UW	minimal_UW
Minimal_2_UW	minimal_UW
Minimal_3_UW	minimal_UW
Minimal_1_IB	minimal_IB
Minimal_2_IB	minimal_IB
Minimal_3_IB	minimal_IB
Control_1_IB	control_IB
Control_2_IB	control_IB
Control_3_IB	control_IB
Tomato_1_IB	tomato_IB
Tomato_2_IB	tomato_IB
Tomato_3_IB	tomato_IB
Melon_1_IB	melon_IB
Melon_2_IB	melon_IB
Melon_3_IB	melon_IB

