	Length	Potato_1_UY	Potato_2_UY	Potato_3_UY	Control_1_UY	Control_2_UY	Control_3_UY	Location
UW163_00020	219	0	0	0	89	98	16	Chromosome
UW163_00025	291	0	0	0	1	4	3	Chromosome
UW163_00030	393	2	1	0	41	54	10	Chromosome
UW163_00040	447	0	0	2	51	52	4	Chromosome
UW163_00045	303	1	0	0	80	109	10	Chromosome
UW163_00050	1005	1	2	0	33	32	9	Chromosome
UW163_00055	378	1	2	0	48	71	3	Chromosome
UW163_00060	1251	5	7	2	175	156	19	Chromosome
UW163_00065	1539	92	12	0	187	183	19	Chromosome
UW163_00070	222	0	0	0	57	48	3	Chromosome
UW163_00075	393	0	1	0	4	8	1	Chromosome
UW163_00080	510	0	1	0	24	31	9	Chromosome
UW163_00085	1968	188	31	9	219	244	35	Chromosome
UW163_00090	537	0	1	0	153	133	18	Chromosome
UW163_00095	345	0	4	2	336	697	98	Chromosome
UW163_00100	495	0	2	1	204	226	99	Chromosome
UW163_00105	192	0	1	0	0	0	0	Chromosome
UW163_00110	369	5	9	4	803	1051	224	Chromosome
UW163_00115	189	0	1	6	823	1359	296	Chromosome
UW163_00120	381	0	2	0	4	2	4	Chromosome
UW163_00125	1272	5	5	3	1378	1469	183	Chromosome
UW163_00130	1404	3	13	5	562	697	82	Chromosome
UW163_00135	408	2	5	5	731	916	190	Chromosome
UW163_00140	213	1	0	0	7	6	3	Chromosome
UW163_00145	2310	7	31	12	4471	5668	949	Chromosome
UW163_00150	390	0	3	1	88	177	49	Chromosome
UW163_00155	468	3	3	3	1801	1802	236	Chromosome
UW163_00160	633	1	10	4	1170	1486	186	Chromosome
UW163_00165	873	5	10	10	2599	2965	368	Chromosome
UW163_00170	498	1	3	0	30	36	3	Chromosome
UW163_00175	285	1	8	0	495	854	128	Chromosome
UW163_00180	366	0	0	0	1	1	4	Chromosome
UW163_00185	849	2	1	0	13	18	25	Chromosome
UW163_00190	279	0	1	0	1	1	0	Chromosome
UW163_00195	861	80	8	4	1	2	2	Chromosome
UW163_00200	975	3	17	1	443	485	177	Chromosome
UW163_00205	1248	8	100	13	897	1461	831	Chromosome
UW163_00210	1107	16	9	2	3	7	6	Chromosome
UW163_00215	186	3	5	4	304	452	213	Chromosome
UW163_00220	477	7	90	11	2823	3102	1687	Chromosome
UW163_00225	336	4	48	16	1913	2949	1570	Chromosome
UW163_00230	855	2	40	8	3701	4083	1767	Chromosome
UW163_00235	897	1	16	10	3776	3708	716	Chromosome
UW163_00240	1074	6	16	11	5065	4675	1072	Chromosome
UW163_00245	759	2	12	2	2689	2985	665	Chromosome
UW163_00255	825	210	1432	253	15908	21724	33562	Chromosome
UW163_00260	621	20	97	33	6015	6399	8743	Chromosome
UW163_00265	363	1	20	1	1100	1097	1033	Chromosome
UW163_00270	393	5	166	136	14166	12300	22851	Chromosome
UW163_00275	426	4	20	14	2802	3013	1492	Chromosome
UW163_00280	633	30	450	94	5941	7220	8605	Chromosome
UW163_00285	1251	18	272	73	10380	10588	9927	Chromosome
UW163_00290	384	4	25	8	725	733	694	Chromosome
