	Length	Tomato_1_UW	Tomato_2_UW	Tomato_3_UW	Banana_1_UW	Banana_2_UW	Banana_3_UW	Control_1_UW	Control_2_UW	Control_3_UW	Minimal_1_UW	Minimal_2_UW	Minimal_3_UW	Minimal_1_IB	Minimal_2_IB	Minimal_3_IB	Control_1_IB	Control_2_IB	Control_3_IB	Tomato_1_IB	Tomato_2_IB	Tomato_3_IB	Melon_1_IB	Melon_2_IB	Melon_3_IB	Location
UW163_00020	219	10	12	17	20	17	18	18	10	15	13	27	12	15	18	14	13	14	12	11	27	13	18	20	37	Chromosome
UW163_00025	291	2	2	4	6	11	7	5	5	3	4	11	4	4	4	3	9	3	6	4	7	4	5	9	7	Chromosome
UW163_00030	393	2	3	6	6	2	4	5	4	3	5	12	6	4	4	4	0	1	3	5	6	4	2	8	4	Chromosome
UW163_00040	447	1	0	0	2	3	0	3	3	2	3	0	1	1	1	0	0	0	0	0	1	0	7	3	3	Chromosome
UW163_00045	303	0	0	1	1	0	2	1	1	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	Chromosome
UW163_00050	1005	0	2	1	4	1	6	5	7	5	7	13	8	3	5	2	1	2	3	0	2	2	2	2	4	Chromosome
UW163_00055	378	1	0	0	0	1	2	3	0	0	1	1	2	0	1	3	1	0	1	0	0	0	3	0	1	Chromosome
UW163_00060	1251	7	15	8	9	13	17	5	15	13	12	18	8	8	4	6	8	5	4	5	4	5	3	11	12	Chromosome
UW163_00065	1539	4	3	3	7	5	7	8	9	7	4	12	4	6	5	3	2	5	5	3	7	3	4	2	8	Chromosome
UW163_00070	222	1	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	1	1	1	0	0	0	0	0	Chromosome
UW163_00075	393	0	0	0	3	1	1	1	1	1	3	4	0	2	1	0	1	1	0	0	0	0	1	1	0	Chromosome
UW163_00080	510	0	1	1	2	5	1	10	11	6	2	4	9	3	3	0	0	2	0	1	6	3	1	0	2	Chromosome
UW163_00085	1968	24	27	26	34	51	35	33	51	58	67	103	47	24	36	24	28	33	25	20	43	26	18	17	44	Chromosome
UW163_00090	537	8	11	4	15	17	11	14	18	14	9	25	10	5	6	2	2	1	2	4	3	5	6	1	7	Chromosome
UW163_00095	345	14	5	6	26	29	26	13	12	12	31	63	24	9	11	16	11	6	6	6	10	7	13	13	14	Chromosome
UW163_00100	495	26	28	41	88	82	70	27	42	52	69	90	51	42	47	58	44	47	44	18	45	29	31	42	63	Chromosome
UW163_00105	192	71	84	88	257	222	199	63	71	62	142	177	89	85	106	108	66	67	95	59	95	90	79	91	136	Chromosome
UW163_00110	369	383	361	428	453	380	365	116	151	233	269	303	203	175	299	299	165	146	165	241	606	420	351	301	437	Chromosome
UW163_00115	189	102	122	133	83	69	72	56	79	97	105	109	69	103	104	121	76	95	96	69	121	78	91	88	182	Chromosome
UW163_00120	381	152	208	202	190	161	152	88	98	154	273	243	197	168	292	245	132	129	144	114	197	131	123	150	178	Chromosome
UW163_00125	1272	562	573	649	361	382	362	120	146	214	795	749	512	591	832	685	158	178	144	263	368	258	99	107	186	Chromosome
UW163_00130	1404	138	200	198	387	401	276	109	156	158	219	318	165	196	172	192	67	99	116	77	176	106	80	98	179	Chromosome
UW163_00135	408	60	58	61	123	111	131	61	61	88	128	134	113	102	132	173	95	88	86	41	73	61	27	41	58	Chromosome
UW163_00140	213	44	34	45	40	67	65	32	37	49	68	104	65	67	84	80	59	47	58	8	35	23	108	93	97	Chromosome
UW163_00145	2310	859	976	1076	2082	2080	1760	1048	1108	1152	1239	1634	818	1071	969	882	694	705	734	399	832	490	546	624	1193	Chromosome
UW163_00150	390	18	10	15	16	24	28	39	40	28	53	73	40	33	29	23	28	35	39	5	15	6	9	7	21	Chromosome
UW163_00155	468	18	11	17	30	31	21	25	28	25	44	55	34	34	24	29	12	20	16	8	12	8	6	8	18	Chromosome
UW163_00160	633	34	26	28	66	55	52	49	50	52	101	132	94	66	95	55	47	41	68	23	40	31	15	18	36	Chromosome
UW163_00165	873	51	46	55	109	103	118	87	70	72	146	169	75	82	93	105	51	39	65	24	51	42	22	33	72	Chromosome
UW163_00170	498	49	37	45	125	113	110	39	66	84	117	146	81	58	81	83	53	45	51	18	70	48	30	21	52	Chromosome
UW163_00175	285	45	36	42	76	78	63	36	35	64	118	135	109	83	123	91	49	21	38	27	61	58	39	35	51	Chromosome
UW163_00180	366	5	1	8	1	3	2	1	4	4	1	6	3	5	5	6	1	1	5	0	2	1	2	3	1	Chromosome
UW163_00185	849	138	132	145	195	197	239	100	147	194	251	280	243	0	0	0	3	1	3	0	0	2	2	1	2	Chromosome
UW163_00190	279	1263	1379	1564	2520	2402	2343	2169	2455	3553	1785	1810	1512	161	369	323	137	149	144	112	469	368	129	135	166	Chromosome
UW163_00195	861	652	546	769	473	546	582	444	688	1062	634	814	563	687	1722	1490	642	559	597	533	1463	1015	467	470	544	Chromosome
UW163_00200	975	722	709	804	1080	1047	940	749	851	1324	943	1208	687	744	1222	1164	515	481	479	421	1019	612	342	323	583	Chromosome
UW163_00205	1248	4294	4445	4808	7818	7033	6639	2751	3551	4361	5569	5589	3870	3970	6716	7945	2791	2355	2457	3530	8353	5824	3263	3071	4747	Chromosome
UW163_00210	1107	15026	14293	16703	13786	15749	18961	10006	15527	17379	24644	27257	22175	11996	24235	22724	8204	6613	6060	24304	33253	25464	28500	24863	37519	Chromosome
UW163_00215	186	92	101	119	158	192	162	86	99	116	145	144	80	95	146	153	96	77	82	56	117	75	58	89	116	Chromosome
UW163_00220	477	334	346	391	385	462	407	370	499	613	564	608	374	443	633	527	437	482	473	172	268	143	193	220	351	Chromosome
UW163_00225	336	124	120	138	170	204	173	258	282	279	203	228	132	141	149	126	192	211	248	35	103	69	57	80	142	Chromosome
UW163_00230	855	676	673	822	1454	1189	1080	1051	1358	1531	861	987	598	562	626	634	825	751	776	319	953	642	489	682	1000	Chromosome
UW163_00235	897	115	130	143	296	285	270	204	238	220	203	280	152	154	149	127	153	132	183	63	147	87	83	76	160	Chromosome
UW163_00240	1074	228	279	272	595	754	617	319	365	327	359	442	233	327	277	285	276	283	305	107	202	126	142	153	299	Chromosome
UW163_00245	759	90	123	120	246	262	250	148	115	142	165	193	110	105	104	109	91	114	94	54	94	65	50	62	144	Chromosome
UW163_00255	825	17477	24473	20159	45043	66439	62180	3389	3795	4087	74069	60175	48983	37006	46496	42668	7329	6572	6306	11250	21273	14554	32073	33070	62002	Chromosome
UW163_00260	621	2797	3493	3083	7200	9454	9275	6047	6918	6896	5637	6068	4036	4664	5605	5690	12114	11744	11125	1842	4278	2683	2961	3368	6137	Chromosome
UW163_00265	363	230	343	319	1192	1366	1123	122	112	86	627	603	362	544	565	635	137	132	170	93	220	167	143	134	435	Chromosome
UW163_00270	393	1323	2024	1851	9390	7232	5345	507	548	331	4548	5664	2111	7198	3449	3186	616	707	951	534	1202	627	708	805	2478	Chromosome
UW163_00275	426	174	192	220	820	697	597	74	61	89	568	539	291	450	455	486	65	60	73	81	214	135	119	111	217	Chromosome
UW163_00280	633	2857	3383	3827	16670	14454	13099	1321	1795	2309	1992	2394	1595	1421	1548	1510	2128	1926	1937	918	3922	2569	3071	3336	5896	Chromosome
UW163_00285	1251	2479	2949	3244	7586	9588	7976	1646	1591	1544	9171	8687	5744	7291	7787	7084	3587	3220	3536	1183	2248	1522	1864	1786	3665	Chromosome
UW163_00290	384	536	546	631	1134	1650	1376	767	747	783	1646	1449	937	1054	1454	1370	615	546	710	226	441	289	298	297	639	Chromosome
UW163_00295	228	975	993	1266	2174	2304	1975	1681	1853	2338	1690	1855	889	1565	1307	1335	1224	1447	1703	351	775	435	453	555	1114	Chromosome
UW163_00300	582	365	454	436	1048	1318	1158	760	820	1127	829	770	545	548	779	822	784	651	738	185	527	336	221	256	481	Chromosome
UW163_00305	1038	1323	1624	1752	2577	3252	2687	3238	3761	4237	2466	2771	1389	2291	1870	2156	2147	2312	2497	617	1345	828	879	987	2208	Chromosome
UW163_00310	189	472	570	625	526	800	780	957	1326	1656	1075	1042	616	961	758	879	751	985	940	195	499	289	370	413	845	Chromosome
UW163_00315	786	168	188	214	431	373	308	294	293	253	322	371	210	263	270	222	207	207	196	82	174	87	96	106	215	Chromosome
UW163_00320	1218	76	96	105	178	150	104	100	83	56	100	152	69	351	209	164	81	88	102	52	124	55	74	59	255	Chromosome
UW163_00325	909	753	582	1047	617	655	601	480	594	591	925	1063	444	610	309	416	167	195	245	132	403	206	319	263	766	Chromosome
UW163_00330	1413	1425	1553	2386	1365	1034	783	250	273	245	713	837	388	767	426	413	74	84	120	175	454	175	602	403	1648	Chromosome
UW163_00335	750	3671	3640	5329	2881	2333	2356	429	388	696	1782	1476	1006	1829	1668	1655	346	325	333	570	1266	552	1670	918	2830	Chromosome
UW163_00340	708	666	641	1124	1204	923	798	410	340	418	327	381	186	479	330	302	247	261	267	97	188	91	247	169	656	Chromosome
UW163_00345	2109	636	600	901	3181	2381	2505	1609	1227	1543	692	946	597	687	590	735	900	1031	1020	161	396	222	266	255	702	Chromosome
UW163_00350	1041	1045	1111	1206	1429	2534	2284	1653	1451	1351	1961	2168	1360	1541	1863	1767	4166	4189	4439	555	926	637	556	526	1218	Chromosome
UW163_00355	1107	578	661	672	830	1251	1259	1305	1074	871	1139	1322	761	1017	1092	954	2936	2813	3009	282	362	270	255	308	654	Chromosome
UW163_00360	2643	7564	9198	8356	12910	15323	15002	20393	21333	22263	6633	7377	4203	6036	6560	6347	18618	20028	19839	4122	8477	5588	4925	5187	11823	Chromosome
UW163_00365	1221	505	617	637	920	978	974	917	850	889	771	890	497	751	813	736	1101	907	920	262	541	340	278	313	574	Chromosome
UW163_00370	453	430	536	593	1210	1006	801	610	615	646	778	957	455	1173	991	835	818	924	975	214	364	202	202	268	610	Chromosome
UW163_00375	486	587	782	847	1386	1220	1046	1319	1341	1392	940	1118	662	1222	1243	1119	1809	1569	1321	495	796	470	350	374	750	Chromosome
UW163_00380	1503	481	580	546	968	1047	955	1335	1409	1660	892	1069	635	868	960	810	1331	1282	1262	377	719	444	278	349	585	Chromosome
UW163_00385	1743	4337	5279	4955	5827	8465	8146	14871	15122	15164	4190	4832	2973	4191	4631	4162	12998	12562	12818	2578	4848	3199	3626	3747	8594	Chromosome
UW163_00390	570	451	597	513	1294	1131	1016	1242	1267	1255	442	430	249	313	369	373	846	775	906	232	686	420	323	355	764	Chromosome
UW163_00395	222	16	27	24	54	50	36	99	82	53	20	26	9	21	14	28	33	33	43	9	24	13	10	7	39	Chromosome
UW163_00400	384	203	256	222	516	562	467	624	512	562	152	226	77	167	113	128	343	408	371	91	172	113	111	123	303	Chromosome
UW163_00405	1353	189	230	257	415	403	337	303	257	238	246	351	159	337	293	209	172	227	203	63	140	64	79	82	206	Chromosome
UW163_00410	2817	677	818	787	1614	1655	1345	1245	1143	1045	1149	1373	711	1198	1050	975	834	924	958	284	512	316	293	320	810	Chromosome
UW163_00415	549	1007	1299	1182	1819	1682	1783	3117	2471	2140	1191	1417	794	1252	1186	1101	1731	1700	1668	511	1178	733	587	742	1839	Chromosome
UW163_00420	354	1789	2390	2041	3663	4191	3911	4426	4975	4867	2412	2574	1583	3099	2625	2698	3376	4041	3759	962	2469	1561	1237	1515	3560	Chromosome
UW163_00430	741	1552	1740	1935	3221	2750	2177	1663	1797	1347	2279	2866	1204	3389	1998	1929	696	883	1155	509	1068	610	624	686	1819	Chromosome
UW163_00435	663	615	716	919	1171	1356	1086	391	380	365	1002	1198	574	2135	1486	1290	312	285	354	264	579	295	327	334	823	Chromosome
UW163_00440	1707	1771	2054	2316	8988	9744	7646	1476	2039	2174	2243	2538	1662	2224	2637	2736	1210	1271	1306	823	2371	1603	1092	1030	1947	Chromosome
UW163_00445	843	841	857	1007	1599	1907	1567	1963	2082	2541	1557	1999	1263	1918	2407	1753	2009	1905	1897	403	985	654	681	644	1084	Chromosome
UW163_00450	666	335	420	432	841	864	756	850	777	727	477	556	285	560	457	485	507	533	670	148	272	168	198	211	512	Chromosome
UW163_00455	414	2335	3238	3106	308	335	281	1439	1793	2421	241	272	144	226	150	158	285	292	363	403	631	260	543	410	1383	Chromosome
UW163_00460	2175	22390	27380	27679	13463	27433	22227	17470	19417	22385	16306	17217	11350	20163	23940	20918	19122	18013	16521	9567	13448	9191	15843	16206	26145	Chromosome
UW163_00465	903	767	949	984	2502	2486	2096	1722	1546	1730	1482	1717	969	1647	1368	1351	1480	1475	1316	486	1113	759	559	624	1372	Chromosome
UW163_00470	2250	1762	1847	2057	2353	2390	2219	2019	2327	2450	2533	2618	1560	2226	2093	2209	3062	2745	3107	579	1273	881	1185	1113	2295	Chromosome
UW163_00475	261	457	576	588	1531	964	753	407	333	267	382	391	180	342	190	225	359	534	808	126	162	87	143	136	425	Chromosome
UW163_00485	639	2311	2749	3308	1123	1280	1191	1822	2119	2977	1272	1283	857	1082	1229	1310	1368	1145	1228	689	1215	647	883	1031	1530	Chromosome
UW163_00490	1221	3601	4341	4369	3963	5594	4583	3645	4765	5442	9131	9491	5704	9484	9410	8195	5005	4229	5020	1542	2460	1586	2491	2558	4805	Chromosome
UW163_00495	1068	662	758	807	748	950	659	678	617	535	743	941	344	891	472	454	338	418	504	180	180	101	250	243	757	Chromosome
UW163_00500	561	2281	2836	3360	1450	2468	2013	1517	2053	2664	2668	2624	1714	3032	3150	2665	1351	1432	1246	964	1293	674	1034	936	1890	Chromosome
UW163_00505	573	5144	5803	7044	2078	1901	1792	1730	2018	2803	1240	1344	954	1347	1524	1321	1370	1352	1445	1189	2621	1351	1762	1808	3384	Chromosome
UW163_00510	207	2370	2325	3272	393	447	396	381	592	937	202	173	92	135	170	184	125	116	167	337	994	436	516	613	1122	Chromosome
UW163_00515	525	222	241	284	486	492	384	206	248	250	375	496	350	336	396	300	158	141	141	109	419	238	165	225	276	Chromosome
UW163_00520	630	217	240	211	566	947	631	300	311	244	324	397	240	356	262	208	277	254	240	52	76	49	52	44	198	Chromosome
UW163_00525	1254	581	630	608	1164	2620	2394	669	655	665	1040	1043	576	1027	947	890	834	913	1018	142	218	126	182	183	447	Chromosome
UW163_00530	885	1076	1048	992	3370	5373	4248	835	819	1032	1745	1748	1064	1509	1844	1959	1371	1253	1404	322	626	408	465	427	779	Chromosome
UW163_00535	822	328	361	403	664	830	603	552	455	329	280	479	160	335	188	159	261	410	419	82	123	68	69	84	295	Chromosome
UW163_00540	1194	792	937	850	1450	2166	1814	1367	1492	1263	1633	2053	982	1561	1140	1088	1519	1901	1588	390	566	291	297	302	777	Chromosome
UW163_00545	1383	310	365	378	668	685	557	450	439	404	443	610	271	332	259	279	310	306	376	140	329	224	159	142	336	Chromosome
UW163_00550	639	15235	16914	17362	48044	42316	41177	9574	11404	14044	43547	43259	34931	50796	82673	75230	32825	27418	28489	12550	46305	35982	16888	18638	23092	Chromosome
UW163_00555	276	11030	10167	12630	8184	7620	6783	12774	15119	16346	20195	20274	13439	27612	29726	28467	13877	13055	14408	4936	12126	7890	10038	9885	16796	Chromosome
UW163_00560	378	1999	2218	2546	4361	3739	3241	3693	3588	3795	4023	4553	2615	5077	5090	4294	3803	3570	3623	944	1592	1090	1854	1738	3816	Chromosome
UW163_00565	531	223	199	293	487	353	251	504	360	268	372	516	258	627	601	489	144	208	239	69	141	82	127	108	322	Chromosome
UW163_00570	378	2339	2180	3150	2331	2234	1597	1805	3782	4120	5476	6357	3451	8490	7778	6633	1053	1965	1937	758	1707	840	715	647	1224	Chromosome
UW163_00575	693	107	123	137	168	183	149	344	222	154	143	224	82	177	83	84	111	144	196	42	39	22	38	35	139	Chromosome
UW163_00580	819	201	200	222	298	328	292	285	342	308	271	306	175	253	212	211	233	261	279	76	83	43	67	83	196	Chromosome
